,l1,l2,l3,s1,s2,s3
224,0,1,0,1,0,0
225,1,1,0,3,3,0
226,0,1,0,-1,-1,0
227,0,0,0,-1,0,0
228,0,0,0,1,-1,0
229,0,0,0,0,2,0
230,2,1,0,2,2,0
231,0,1,0,2,0,0
232,0,0,0,-1,4,0
233,2,2,0,2,3,0
234,1,0,0,0,1,0
235,0,0,0,-1,0,0
236,0,0,0,-3,0,0
237,0,0,0,0,0,0
238,0,1,0,0,2,0
239,2,0,0,0,2,0
240,0,1,0,3,2,0
241,0,1,0,1,-1,0
242,2,0,0,5,1,0
243,0,1,0,1,0,0
244,0,1,0,4,0,0
245,0,0,0,2,0,0
246,0,1,0,1,1,0
247,0,0,0,-1,2,0
248,1,1,0,1,3,0
249,0,0,0,0,0,0
250,0,0,0,5,0,0
251,0,0,0,0,1,0
252,0,1,0,1,0,0
253,2,0,0,0,4,0
254,0,0,0,1,1,0
255,-1,0,0,-4,-1,0
256,1,0,0,-1,2,0
257,0,0,0,-1,0,0
258,1,1,0,3,1,0
259,2,1,0,3,2,0
260,0,2,0,3,0,0
261,0,0,0,0,1,0
262,1,0,1,3,0,0
263,0,1,0,4,0,0
264,1,0,0,0,1,0
265,0,1,0,-1,0,0
266,0,0,1,0,0,0
267,2,0,0,3,2,0
268,1,2,0,4,0,0
269,0,0,0,-3,0,0
270,0,0,0,1,2,0
271,1,1,0,0,0,0
272,0,1,0,2,2,0
273,1,0,0,0,0,0
274,1,0,0,1,2,0
275,1,1,0,1,1,0
276,1,2,0,3,1,0
277,0,2,0,0,1,0
278,0,0,0,1,0,0
279,-1,0,0,0,0,0
280,2,0,0,3,1,0
281,0,0,0,2,0,0
282,2,2,0,3,1,0
283,1,1,0,1,2,0
284,2,1,0,1,2,0
285,1,1,0,-1,0,0
286,1,1,0,-1,0,0
287,0,0,0,5,1,0
288,0,0,0,2,0,0
289,0,0,0,2,2,0
290,1,1,0,4,2,0
291,1,0,0,1,2,0
292,0,0,0,0,-2,0
293,2,2,0,1,1,0
294,1,0,0,2,1,0
295,1,0,1,1,1,0
296,0,0,0,-2,4,0
297,1,0,1,2,2,0
298,0,1,0,0,1,0
299,4,0,0,0,0,0
300,0,0,0,0,1,0
301,1,1,0,1,1,0
302,2,1,0,3,0,0
303,0,1,0,0,1,0
304,0,0,0,2,3,0
305,2,1,0,0,1,0
306,0,1,0,0,1,0
307,2,0,0,8,2,0
308,1,0,0,2,0,0
309,1,0,0,-3,1,0
310,0,0,0,1,1,0
311,1,0,0,1,0,0
312,1,0,0,0,1,0
313,0,0,0,-1,1,0
314,0,1,0,1,1,0
315,1,1,0,1,2,0
316,1,0,0,-1,0,0
317,1,0,0,-1,0,0
318,-1,2,0,1,0,0
319,1,0,0,2,0,0
320,2,1,0,4,0,0
321,0,0,1,0,0,0
322,0,0,0,0,1,0
323,0,0,0,0,-1,0
324,0,0,0,-1,-1,0
325,0,1,0,0,0,0
326,0,0,0,0,1,0
327,1,0,0,0,2,0
328,0,0,0,1,1,0
329,1,1,0,0,1,0
330,2,0,0,4,-1,0
331,2,0,0,0,2,0
332,0,0,0,1,0,0
333,0,1,0,0,1,0
334,0,0,1,4,0,0
335,0,0,0,1,-1,0
336,0,0,0,2,-1,0
337,0,0,0,1,0,0
338,1,0,0,4,0,0
339,0,0,0,0,1,0
340,1,0,0,1,0,0
341,0,0,0,3,1,0
342,0,0,0,1,1,0
343,0,1,0,7,3,0
344,0,0,0,0,-1,0
345,1,0,0,0,1,0
346,0,0,0,0,0,0
347,0,1,0,1,5,0
348,0,0,0,0,0,0
349,1,1,0,0,1,0
350,1,1,0,1,3,0
351,0,0,0,1,0,0
352,0,0,0,1,3,0
353,0,0,1,-1,0,0
354,3,0,0,2,4,0
355,1,1,0,0,1,0
356,1,1,0,1,0,0
357,0,1,0,2,5,0
358,1,1,0,2,0,0
359,0,0,0,1,1,0
360,1,0,0,3,1,0
361,1,1,0,3,1,0
362,0,0,0,-1,0,0
363,1,0,0,6,2,0
364,3,0,0,1,0,0
365,0,0,1,1,4,0
366,1,0,0,0,0,0
367,2,0,0,2,0,0
368,0,0,1,3,1,0
369,0,0,0,1,1,0
370,1,0,0,-4,-1,0
371,0,1,0,3,0,0
372,0,0,0,0,1,0
373,0,0,0,1,2,0
374,2,0,1,0,0,0
375,1,0,0,0,5,0
376,1,0,0,0,0,0
377,0,0,1,1,0,0
378,0,0,0,0,2,0
379,0,1,0,4,1,0
380,0,0,0,2,0,0
381,3,1,0,2,1,0
382,0,1,0,-1,0,0
383,0,0,0,2,0,0
384,0,0,0,1,2,0
385,0,0,0,-1,0,0
386,1,2,0,7,1,0
387,1,0,0,1,1,0
388,0,0,0,0,-1,0
389,0,1,0,2,1,0
390,0,1,0,5,1,0
391,0,0,0,2,0,0
392,1,0,0,0,1,0
393,1,0,0,2,0,0
394,0,1,0,2,0,0
395,2,0,0,3,3,0
396,4,0,0,1,2,0
397,0,0,0,-1,0,0
398,0,0,0,2,0,0
399,-1,1,0,-2,0,0
400,0,0,0,3,1,0
401,1,0,0,1,0,0
402,0,0,0,2,0,0
403,-1,0,0,3,1,0
404,1,0,0,2,0,0
405,0,1,0,0,0,0
406,0,0,0,1,0,0
407,0,0,0,-1,0,0
408,1,0,0,1,1,0
409,1,1,0,2,0,0
410,1,0,0,0,0,0
411,2,1,0,1,2,0
412,0,0,0,4,0,0
413,1,0,0,0,0,0
414,1,0,0,3,1,0
415,1,0,0,1,0,0
416,0,2,0,2,3,0
417,1,0,0,-1,0,0
418,0,0,0,3,2,0
419,1,0,0,-3,1,0
420,0,0,0,1,0,0
421,2,2,0,1,1,0
422,0,1,0,0,0,0
423,1,0,0,0,1,0
424,1,-1,0,2,0,0
425,2,0,0,3,1,0
426,1,0,0,0,0,0
427,0,1,0,1,-1,0
428,1,0,0,0,0,0
429,3,0,0,4,0,0
430,2,0,0,3,0,0
431,1,0,0,1,0,0
432,2,0,1,3,2,0
433,0,0,0,2,2,0
434,1,0,0,2,1,0
435,1,0,0,0,2,0
436,0,1,0,2,0,0
437,3,0,0,1,1,0
438,1,2,0,0,-2,0
439,0,1,1,-3,1,0
440,0,2,0,2,0,0
441,0,0,0,3,1,0
442,1,0,0,3,1,0
443,2,0,0,-1,1,0
444,0,0,0,0,2,0
445,0,2,0,2,1,0
446,0,0,0,3,1,0
447,0,1,0,2,1,0
448,1,1,0,1,2,0
449,3,0,0,3,1,0
450,0,0,0,0,1,0
451,1,1,0,4,2,0
452,2,0,0,-1,0,0
453,1,1,0,0,0,0
454,1,0,0,3,0,0
455,0,1,0,0,0,0
456,0,0,0,2,4,0
457,0,1,0,3,1,0
458,0,1,0,1,1,0
459,0,0,0,5,1,0
