,指定科類枠の効用増,指定科類枠の効用減,指定科類枠の効果,全科類枠の効用増,全科類枠の効用減,全科類枠の効果
法学部,44.02362135222181,298.0642207463574,-254.0405993941356,222.25708543329665,320.77218463510866,-98.515099201812
経済学部,45.72563643589508,1275.5982320225482,-1229.8725955866532,1267.407473401162,269.4253332447027,997.9821401564593
A群（思想文化）,1.1179614527521151,31.333061354840368,-30.21509990208825,395.9810732927263,105.29897256966971,290.6821007230566
B群（歴史文化_日本史学）,0.0,13.379778868272526,-13.379778868272526,390.0057861946089,22.68687889194201,367.3189073026669
C群（歴史文化_東洋史学）,0.0,2.8783157180958847,-2.8783157180958847,650.8359090335136,36.95272548419148,613.8831835493222
D群（歴史文化_西洋史学）,0.0675948244961396,12.417936090582492,-12.350341266086351,385.3794744489786,9.8929541289776,375.48652032000103
E群（歴史文化_考古学）,0.0,5.687975750781055,-5.687975750781055,73.53643292294535,42.50756723468379,31.02886568826156
F群（歴史文化_美術史学）,0.0,20.71218275655391,-20.71218275655391,4.975394869275433,31.29965152777395,-26.324256658498516
G群（言語文化）,0.0,47.46453522912589,-47.46453522912589,704.7049052162942,133.70176180312856,571.0031434131656
H群（心理学）,0.4686524317971983,0.4752714792401565,-0.006619047442958215,18.77289833217935,19.20923906217697,-0.43634072999762097
I群（社会心理学）,6.863349957978678,13.393928884975164,-6.530578926996486,30.60482830504955,5.505846727029976,25.098981578019576
J群（社会学）,15.700349210851762,16.194659741917743,-0.494310531065981,36.25839376974673,37.27496311296133,-1.0165693432145986
基礎教育学,1.4998333443778729,11.218768547115376,-9.718935202737503,52.956946349149135,16.64165158921733,36.3152947599318
比較教育社会学,2.6552260211843195,2.7134704111820303,-0.058244389997710755,9.36714024741217,9.604373092024767,-0.2372328446125973
教育実践・政策学,5.908869410426751,6.645091325003655,-0.7362219145769036,23.71828662866912,27.413147250570628,-3.6948606219015083
教育心理学,23.106017347077707,25.575957284623243,-2.4699399375455364,7.74004207219869,5.204267230498139,2.53577484170055
身体教育学,0.0,0.0,0.0,0.9455931090130948,82.49391893008563,-81.54832582107254
薬学部,25.527086822773448,563.8565286061727,-538.3294417833993,0.1868748281974089,20.97082052917712,-20.78394570097971
医学,25.178390568221808,32.25030928078763,-7.071918712565825,31.163542634463557,13.84232749641585,17.321215138047705
健康総合科学,0.9993354920163456,102.97258748521138,-101.97325199319503,0.0,21.93489488351939,-21.93489488351939
