karui,b0,b1,b2,b3,b4,w0,w1,w2,w3,w4
l1,0.0,2.8846153846153846,3.8461538461538463,4.8076923076923075,10.576923076923077,0.0,0.0,0.0,0.0,0.0
l2,7.575757575757576,12.121212121212121,13.636363636363637,15.909090909090908,23.484848484848484,0.0,0.0,0.0,0.0,0.0
l3,0.0,3.6036036036036037,4.504504504504505,6.306306306306307,12.612612612612613,0.0,0.0,0.0,0.0,0.0
s1,5.665024630541872,8.620689655172415,10.098522167487685,11.330049261083744,16.748768472906406,0.0,0.0,0.0,0.0,0.0
s2,17.51152073732719,23.963133640552996,26.267281105990783,28.110599078341014,36.866359447004605,0.0,0.0,0.0,0.0,0.0
s3,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0
sum,,,,,,,7.93,17.62,,
