,l1,l2,l3,s1,s2,s3
マテリアル工学A,-8.079999999999957,-8.25999999999995,-8.139999999999954,-1.9244117647058863,-1.7276190476190443,-7.4599999999999485
マテリアル工学B,-8.039999999999953,-8.239999999999954,-8.179999999999952,-1.6575903614457828,-1.9305555555555542,-7.4999999999999485
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,-8.159999999999954,-8.199999999999955,-8.199999999999951,-1.2352727272727275,-1.8029999999999984,-7.539999999999947
応用化学,-8.059999999999956,-8.059999999999956,-8.099999999999957,-2.244905660377353,-1.977714285714281,-7.51999999999995
化学システム工学,-8.139999999999958,-8.239999999999954,-4.7000000000000455,-1.9391044776119415,-1.7800000000000005,-7.439999999999954
化学生命工学,-8.119999999999955,-8.259999999999952,-8.199999999999953,-2.4386666666666676,-2.052499999999999,-7.459999999999949
システム創成A,-8.17999999999995,-4.249999999999997,-4.15999999999999,-1.2952830188679205,-1.6999999999999964,-7.519999999999956
システム創成B,-8.059999999999961,-4.0600000000000005,-3.5650000000000035,-1.1399999999999963,-1.590638297872339,-7.43999999999995
システム創成C,-4.460000000000032,-3.4520000000000013,-3.1966666666666597,-0.5171250000000005,-1.0330303030303036,-7.639999999999949
数学,-8.179999999999957,-8.179999999999952,-8.199999999999953,-2.26339622641509,-3.150769230769227,-7.479999999999956
情報科学,-8.239999999999956,-8.219999999999953,-8.259999999999954,-1.1709734513274372,-2.053333333333324,-7.379999999999954
物理学,-8.179999999999954,-8.219999999999953,-8.159999999999952,-1.7096202531645603,-2.79777777777777,-7.559999999999954
天文学,-8.079999999999956,-8.23999999999995,-8.19999999999995,-2.689444444444441,-3.176666666666666,-7.519999999999951
地球惑星物理学,-8.159999999999954,-8.219999999999953,-8.219999999999954,-1.9906250000000025,-2.66800000000001,-7.599999999999953
地球惑星環境学,-8.099999999999955,-8.259999999999957,-8.13999999999996,-2.621999999999994,-2.3500000000000068,-7.4799999999999525
化学,-8.179999999999952,-8.159999999999947,-8.179999999999955,-2.5610000000000057,-1.843589743589739,-7.459999999999955
生物化学,-8.159999999999954,-8.279999999999953,-8.159999999999958,-3.4752941176470684,-1.8373684210526284,-7.539999999999948
生物情報科学,-8.199999999999953,-8.219999999999951,-8.199999999999955,-2.604102564102554,-2.0012121212121166,-7.4199999999999555
生物学,-8.099999999999953,-8.179999999999955,-8.079999999999952,-3.334736842105267,-2.0533333333333457,-7.519999999999953
