,２内（文１）,２内（文２）,２内（文３）,２内（理１）,２内（理２）,２内（理３）,２内全（文１）,２内全（文２）,２内全（文３）,２内全（理１）,２内全（理２）,２内全（理３）
機械工学B,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
航空宇宙学,0.0,0.0,0.0,16.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
精密工学,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.004,0.005,0.826,2.165,0.0
電子情報工学,0.0,0.0,0.0,14.0,0.0,0.0,0.075,0.008,0.0,6.4,3.517,0.0
電気電子工学,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
応用物理・物理工学,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.932,2.068,0.0
計数工学・数理/ｼｽﾃﾑ情報,0.0,0.0,0.0,18.0,0.0,0.0,0.065,0.0,0.045,0.489,2.401,0.0
マテリアル工学A,0.0,0.0,0.0,6.944,1.999,0.0,0.0,0.0,0.0,0.224,1.774,0.0
マテリアル工学B,0.0,0.0,0.0,15.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
応用化学,0.0,0.0,0.0,9.42,3.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
化学システム工学,0.0,0.0,0.0,12.444,2.982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
化学生命工学,0.0,0.0,0.0,6.654,5.601,0.0,0.0,0.0,0.0,0.26,0.242,0.0
システム創成A,0.0,0.0,0.0,11.995,1.998,0.0,0.0,0.017,0.034,0.601,2.347,0.0
システム創成B,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
システム創成C,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
数学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.757,1.714,0.0
情報科学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.672,2.328,0.0
物理学,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,15.344,2.654,0.0
天文学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.917,1.002,0.0
地球惑星物理学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.637,2.26,0.0
地球惑星環境学,0.0,0.0,0.0,2.018,1.973,0.0,0.0,0.0,0.0,1.131,0.789,0.0
化学,0.0,0.0,0.0,5.361,6.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生物化学,0.0,0.0,0.0,0.974,4.913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生物情報科学,0.0,0.0,0.0,2.007,2.987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生物学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.349,5.818,0.0
