学部番号,学部,学科,学科2,第1段階指定1科類,第1段階指定1枠数,第1段階指定2科類,第1段階指定2枠数,第1段階指定3科類,第1段階指定3枠数,内定第1段階指定1科類,残指定1枠数,内定指定2科類,残指定2枠数,内定指定3科類,残指定3枠数,第１志望者（合計）,１志（文１）,１志（文２）,１志（文３）,１志（理１）,１志（理２）,１志（理３）,第１内定者（合計）,１内（文１）,１内（文２）,１内（文３）,１内（理１）,１内（理２）,１内（理３）,第１志望者（合計）,１志全（文１）,１志全（文２）,１志全（文３）,１志全（理１）,１志全（理２）,１志全（理３）,第１内定者（合計）,１内全（文１）,１内全（文２）,１内全（文３）,１内全（理１）,１内全（理２）,１内全（理３）,,第二段階指定1科類,第二段階指定1枠数,指定1使用,指定1底点,指定1点数,指定1学籍番号,第二段階指定2科類,第二段階指定2枠数,指定2使用,指定2底点,指定2点数,指定2学籍番号,第二段階指定3科類,第二段階指定3枠数,指定3使用,指定3底点,指定3点数,指定3学籍番号,第二段階指定4科類,第二段階指定4枠数,指定4使用,指定4底点,指定4点数,指定4学籍番号,,第１志望者（合計）,２志（文１）,２志（文２）,２志（文３）,２志（理１）,２志（理２）,２志（理３）,第１内定者（合計）,１内（文１）,２内（文２）,２内（文３）,２内（理１）,２内（理２）,２内（理３）,第２志望者（合計）,２志全（文１）,２志全（文２）,２志全（文３）,２志全（理１）,２志全（理２）,２志全（理３）,第２内定者（合計）,２内全（文１）,２内全（文２）,２内全（文３）,２内全（理１）,２内全（理２）,２内全（理３）,学部番号,学部,学科,学科2
13,教育学部,総合教育科学,基礎教育学,3,9,,,123456,3,0,9,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,3,0,3,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,教育学部,総合教育科学,基礎教育学
14,教育学部,総合教育科学,比較教育社会学,3,8,,,123456,3,0,8,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,2,0,2,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育学部,総合教育科学,比較教育社会学
15,教育学部,総合教育科学,教育実践・政策学,3,10,,,123456,5,0,10,0,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,4,0,4,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,教育学部,総合教育科学,教育実践・政策学
16,教育学部,総合教育科学,教育心理学,3,8,456,2,123456,3,0,8,0,2,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,0,0,456,2,0,2,0,0,0,0,0,0,0,0,123456,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,教育学部,総合教育科学,教育心理学
17,教育学部,総合教育科学,身体教育学,3,,,,123456,11,0,0,0,0,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,10,0,10,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,教育学部,総合教育科学,身体教育学
18,薬学部,薬学部,薬学部,46,16,5,29,123456,8,0,16,0,29,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,2,0,2,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,薬学部,薬学部,薬学部
19,医学部,医学,医学,5,7,6,68,123456,2,0,7,0,68,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,32,0,32,0,0,5,3,0,3,0,0,0,0,0,0,0,0,123456,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,医学部,医学,医学
20,医学部,健康総合科学,健康総合科学,456,13,,,123456,18,0,13,0,0,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,20,0,20,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,医学部,健康総合科学,健康総合科学
21,教養,教養学科,超域文化科学,12,6,3,12,123456,5,0,6,0,12,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,0,2,0,0,3,9,0,9,0,0,0,0,0,0,0,0,123456,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,教養,教養学科,超域文化科学
22,教養,教養学科,地域文化研究,12,8,3,12,123456,2,0,8,0,12,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,0,3,0,0,3,6,0,6,0,0,0,0,0,0,0,0,123456,2,0,2,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,教養,教養学科,地域文化研究
23,教養,教養学科,総合社会科学,12,10,3,11,123456,1,0,10,0,11,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,8,0,8,0,0,3,1,0,1,0,0,0,0,0,0,0,0,123456,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,教養,教養学科,総合社会科学
24,教養,教養学科,数理自然科学,456,6,,,123456,1,0,6,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,教養,教養学科,数理自然科学
25,教養,教養学科,物質基礎科学,456,12,,,123456,,0,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,教養,教養学科,物質基礎科学
26,教養,教養学科,統合生命科学,456,10,,,123456,3,0,10,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,教養,教養学科,統合生命科学
27,教養,教養学科,認知行動科学,123,3,456,3,123456,,0,3,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,1,0,1,0,0,123,1,0,1,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,教養,教養学科,認知行動科学
28,教養,際科学科,Ａ 群,123,5,456,3,123456,,0,5,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,1,0,1,0,0,123,4,0,4,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,教養,際科学科,Ａ 群
29,教養,際科学科,Ｂ 群,123,2,456,2,123456,,0,2,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,3,0,3,0,0,123,1,0,1,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,教養,際科学科,Ｂ 群
30,教養,PEAK,教養学科国際日本研究コース,,,,,123456,3,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,4,0,4,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,教養,PEAK,教養学科国際日本研究コース
31,教養,PEAK,学際科学科国際環境学コース,,,,,123456,3,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,4,0,4,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,教養,PEAK,学際科学科国際環境学コース
32,農学部,応用生命科学,生命化学・工学,5,40,,,123456,12,0,40,0,0,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,農学部,応用生命科学,生命化学・工学
33,農学部,応用生命科学,応用生物学,5,14,,,123456,5,0,14,0,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,農学部,応用生命科学,応用生物学
34,農学部,応用生命科学,森林生物科学,5,,,,123456,2,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,4,0,4,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,農学部,応用生命科学,森林生物科学
35,農学部,応用生命科学,水圏生物科学,5,9,,,123456,3,0,9,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,農学部,応用生命科学,水圏生物科学
36,農学部,応用生命科学,動物生命システム科学,5,3,,,123456,2,0,3,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,農学部,応用生命科学,動物生命システム科学
37,農学部,応用生命科学,生物素材化学,5,8,,,123456,,0,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,農学部,応用生命科学,生物素材化学
38,農学部,環境資源科学,緑地環境学,456,2,,,123456,2,0,2,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,農学部,環境資源科学,緑地環境学
39,農学部,環境資源科学,森林環境資源科学,5,6,,,123456,4,0,6,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,10,0,10,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,農学部,環境資源科学,森林環境資源科学
40,農学部,環境資源科学,木質構造科学,5,5,,,123456,,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,農学部,環境資源科学,木質構造科学
41,農学部,環境資源科学,生物・環境工学,46,5,5,11,123456,2,0,5,0,11,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,5,0,5,0,0,123,1,0,1,0,0,0,0,0,0,0,0,123456,12,0,12,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,農学部,環境資源科学,生物・環境工学
42,農学部,環境資源科学,農業・資源経済学,123,6,456,13,123456,,0,6,0,13,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,8,0,8,0,0,123,5,0,5,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,農学部,環境資源科学,農業・資源経済学
43,農学部,環境資源科学,フィールド科学,5,3,,,123456,2,0,3,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,農学部,環境資源科学,フィールド科学
