,２内（文１）,２内（文２）,２内（文３）,２内（理１）,２内（理２）,２内（理３）,２内全（文１）,２内全（文２）,２内全（文３）,２内全（理１）,２内全（理２）,２内全（理３）
機械工学B,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
航空宇宙学,0.0,0.0,0.0,16.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
精密工学,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.009,0.003,0.875,2.113,0.0
電子情報工学,0.0,0.0,0.0,14.0,0.0,0.0,0.085,0.004,0.0,6.383,3.528,0.0
電気電子工学,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
応用物理・物理工学,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.986,2.014,0.0
計数工学・数理/ｼｽﾃﾑ情報,0.0,0.0,0.0,18.0,0.0,0.0,0.056,0.0,0.072,0.545,2.327,0.0
マテリアル工学A,0.0,0.0,0.0,6.971,1.999,0.0,0.0,0.0,0.0,0.23,1.768,0.0
マテリアル工学B,0.0,0.0,0.0,15.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
応用化学,0.0,0.0,0.0,9.148,3.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0
化学システム工学,0.0,0.0,0.0,12.603,2.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
化学生命工学,0.0,0.0,0.0,6.705,5.586,0.0,0.0,0.0,0.0,0.281,0.248,0.0
システム創成A,0.0,0.0,0.0,11.997,1.998,0.0,0.0,0.02,0.045,0.567,2.367,0.0
システム創成B,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
システム創成C,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
数学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.632,1.708,0.0
情報科学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.748,2.252,0.0
物理学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.447,2.672,0.0
天文学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.021,0.0
地球惑星物理学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.663,2.221,0.0
地球惑星環境学,0.0,0.0,0.0,2.004,1.988,0.0,0.0,0.0,0.0,1.148,0.785,0.0
化学,0.0,0.0,0.0,5.24,6.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生物化学,0.0,0.0,0.0,1.017,4.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生物情報科学,0.0,0.0,0.0,2.033,2.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生物学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.298,5.873,0.0
