学部番号,学部,学科,学科2,第1段階指定1科類,第1段階指定1枠数,第1段階指定2科類,第1段階指定2枠数,第1段階指定3科類,第1段階指定3枠数,１志（文１）,１志（文２）,１志（文３）,１志（理１）,１志（理２）,１志（理３）,１内（文１）,１内（文２）,１内（文３）,１内（理１）,１内（理２）,１内（理３）,１志全（文１）,１志全（文２）,１志全（文３）,１志全（理１）,１志全（理２）,１志全（理３）,１内全（文１）,１内全（文２）,１内全（文３）,１内全（理１）,１内全（理２）,１内全（理３）,第二段階指定1科類,第二段階指定1枠数,第二段階指定2科類,第二段階指定2枠数,第二段階指定3科類,第二段階指定3枠数,第二段階指定4科類,第二段階指定4枠数,２志（文１）,２志（文２）,２志（文３）,２志（理１）,２志（理２）,２志（理３）,２内（文１）,２内（文２）,２内（文３）,２内（理１）,２内（理２）,２内（理３）,２志全（文１）,２志全（文２）,２志全（文３）,２志全（理１）,２志全（理２）,２志全（理３）,２内全（文１）,２内全（文２）,２内全（文３）,２内全（理１）,２内全（理２）,２内全（理３）,学部番号.1,学部.1,学科.1,学科2.1
43,農学部,環境資源科学,フィールド科学,5,4,,,123456,2,,,,,5,,,,,,4,,,,,1,1,,,,,1,1,,456,2,0,0,0,0,123456,1,,,,12,33,,,,,1,1,,,7,5,12,33,,,,1,,,,43,農学部,環境資源科学,フィールド科学
44,農学部,環境資源科学,国際開発農学,456,9,,,123456,4,,,,1,18,,,,,,9,,1,,5,1,9,,1,,3,,,,456,3,0,0,0,0,123456,5,,,,18,45,,,,,,3,,6,14,16,18,45,,,,2,,3,,44,農学部,環境資源科学,国際開発農学
45,農学部,獣医学課程獣医学,獣医学課程獣医学,5,17,,,123456,3,,,,,20,,,,,,17,,,,1,1,3,,,,1,1,1,,456,8,0,0,0,0,123456,0,,,,8,26,,,,,1,4,,,,,,,,,,,,,,45,農学部,獣医学課程獣医学,獣医学課程獣医学
46,工学部,社会基盤学Ａ（設計・技術戦略）,社会基盤学Ａ（設計・技術戦略）,4,12,56,1,123456,1,,,,19,2,,,,,12,1,,,,,7,1,,,,,1,,,4,7,56,0,0,0,123456,0,,,,35,,,,,,7,,,,,,,,,,,,,,,46,工学部,社会基盤学Ａ（設計・技術戦略）,社会基盤学Ａ（設計・技術戦略）
47,工学部,社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,4,10,,,123456,3,,,,16,,,,,,10,,,3,1,1,6,1,,2,,,1,,,4,6,56,0,0,0,123456,0,,,,35,,,,,,6,,,,,,,,,,,,,,,47,工学部,社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,社会基盤学Ｂ（政策・計画）社会基盤学Ｃ
48,工学部,社会基盤学Ｃ（国際プロジェクト）,社会基盤学Ｃ（国際プロジェクト）,4,4,,,123456,3,,,,6,,,,,,4,,,1,2,3,2,5,,,,2,,,,4,3,56,0,0,0,123456,0,,,,27,,,,,,3,,,,,,,,,,,,,,,48,工学部,社会基盤学Ｃ（国際プロジェクト）,社会基盤学Ｃ（国際プロジェクト）
49,工学部,建築学,建築学,4,32,,,123456,6,,,,41,,,,,,32,,,2,2,5,9,7,,,1,3,,2,,4,15,56,0,0,0,123456,2,,,,71,,,,,,15,,,3,4,7,71,24,,1,,,,1,,49,工学部,建築学,建築学
50,工学部,都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,4,6,56,3,123456,3,,,,5,7,,,,,5,3,,,2,3,,4,,,,2,,1,,4,5,56,0,0,0,123456,2,,,,50,,,,,,5,,,,6,6,50,31,,,,,,2,,50,工学部,都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）
51,工学部,都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,4,12,,,123456,6,,,,27,,,,,,16,,,1,5,1,11,2,,1,3,1,,1,,4,10,56,0,0,0,123456,0,,,,73,,,,,,10,,,3,9,9,73,27,,1,1,,,,,51,工学部,都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）
52,工学部,機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,4,55,56,2,123456,2,,,,71,6,,,,,55,2,,,,,16,4,,,,,,2,,4,31,56,0,0,0,123456,0,,,,196,,,,,,31,,,,,,,,,,,,,,,52,工学部,機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）
53,工学部,機械工学B,機械工学B,4,25,,,123456,1,,,,61,,,,,,25,,,,,,36,1,,,,,,1,,4,13,56,0,0,0,123456,0,,,,154,,,,,,13,,,,,,,,,,,,,,,53,工学部,機械工学B,機械工学B
54,工学部,航空宇宙学,航空宇宙学,4,33,56,1,123456,,,,,55,6,,,,,33,1,,,,,,,,,,,,,,4,18,56,0,0,0,123456,0,,,,84,,,,,,18,,,,,,,,,,,,,,,54,工学部,航空宇宙学,航空宇宙学
55,工学部,精密工学,精密工学,4,24,56,3,123456,3,,,,37,15,,,,,24,3,,1,1,,13,12,,1,,,,2,,4,11,56,0,0,0,123456,3,,,,177,,,,,,11,,,,1,1,177,47,,,,,,3,,55,工学部,精密工学,精密工学
56,工学部,電子情報工学,電子情報工学,4,24,56,6,123456,4,,,,59,7,,,,,25,3,,,3,,34,4,,,3,,1,,,4,14,56,0,0,0,123456,10,,,,199,,,,,,14,,,2,1,,199,48,,2,,,3,4,,56,工学部,電子情報工学,電子情報工学
57,工学部,電気電子工学,電気電子工学,4,32,56,6,123456,9,,,,70,14,,,,,32,3,,,,,38,11,,,,,3,6,,4,24,56,0,0,0,123456,0,,,,184,,,,,,21,,,1,1,,184,38,,,,,,1,,57,工学部,電気電子工学,電気電子工学
58,工学部,応用物理・物理工学,応用物理・物理工学,4,32,,,123456,3,,,,54,,,,,,32,,,,,,22,3,,,,,1,2,,4,12,56,0,0,0,123456,5,,,,128,,,,,,12,,,,,,126,26,,,,,4,1,,58,工学部,応用物理・物理工学,応用物理・物理工学
60,工学部,計数工学・数理/ｼｽﾃﾑ情報,計数工学・数理/ｼｽﾃﾑ情報,4,30,56,3,123456,2,,,,56,9,,,,,30,4,,2,2,,26,5,,,2,,,1,,4,18,56,0,0,0,123456,3,,,,147,,,,,,18,,,2,,3,147,32,,,,,,3,,60,工学部,計数工学・数理/ｼｽﾃﾑ情報,計数工学・数理/ｼｽﾃﾑ情報
61,工学部,マテリアル工学A,マテリアル工学A,4,7,56,10,123456,3,,,,4,6,,,,,4,4,,,,,,2,,,,,,,,4,9,56,2,0,0,123456,2,,,,68,42,,,,,9,,,,,,68,42,,,,,,1,,61,工学部,マテリアル工学A,マテリアル工学A
62,工学部,マテリアル工学B,マテリアル工学B,4,16,56,19,123456,3,,,,10,6,,,,,10,3,,,,,,4,,,,,,2,,4,13,56,0,0,0,123456,0,,,,83,36,,,,,13,,,,,,83,36,,,,,,,,62,工学部,マテリアル工学B,マテリアル工学B
63,工学部,マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,4,16,56,10,123456,3,,,,15,7,,,,,15,3,,,,,,4,,,,,,2,,4,9,56,0,0,0,123456,0,,,,110,40,,,,,9,2,,,,,110,40,,,,,,1,,63,工学部,マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）
64,工学部,応用化学,応用化学,4,30,56,3,123456,2,,,,29,9,,,,,29,3,,,,,,6,,,,,,1,,4,13,56,4,0,0,123456,0,,,,53,35,,,,,4,4,,,,,,,,,,,,,,64,工学部,応用化学,応用化学
65,工学部,化学システム工学,化学システム工学,4,25,56,4,123456,3,,,,12,5,,,,,12,4,,,,,,1,,,,,,1,,4,24,56,3,0,0,123456,2,,,,67,41,,,,,7,3,,,,1,67,41,,,,,,2,,65,工学部,化学システム工学,化学システム工学
66,工学部,化学生命工学,化学生命工学,4,21,56,11,123456,1,,,,17,19,,,,,17,11,,,,,,8,,,,,,1,,4,12,56,7,0,0,123456,1,,,,45,32,,,,,3,7,,,,,45,32,,,,,,1,,66,工学部,化学生命工学,化学生命工学
67,工学部,システム創成A,システム創成A,4,21,56,4,123456,4,,,,32,7,,,,,21,4,,,2,,11,3,,,2,,1,2,,4,12,56,2,0,0,123456,3,,,,106,43,,,,,12,2,,,2,2,106,43,,,,,,,,67,工学部,システム創成A,システム創成A
68,工学部,システム創成B,システム創成B,4,21,,,123456,5,,,,30,,,,,,21,,,1,1,1,9,18,,1,1,,,3,,4,11,56,0,0,0,123456,0,,,,116,,,,,,11,,,,3,4,116,47,,,,,,,,68,工学部,システム創成B,システム創成B
69,工学部,システム創成C,システム創成C,4,24,56,2,123456,4,,,,49,11,,,,,26,2,,,5,4,23,9,,,2,2,,,,4,12,56,2,0,0,123456,0,,,,160,66,,,,,12,2,,1,5,6,160,66,,,1,2,,,,69,工学部,システム創成C,システム創成C
70,理学,数学,数学,4,27,,,123456,3,,,,46,,,,,,27,,,,,1,19,2,1,,,1,,1,1,456,0,0,0,0,0,123456,13,,,,,,,,,,,,,,,,53,13,,,,,13,,,70,理学,数学,数学
71,理学,情報科学,情報科学,4,16,,,123456,4,,,,42,,,,,,16,,,,,,26,4,,,,,4,,,456,0,0,0,0,0,123456,10,,,,,,,,,,,,,,,,113,33,,,,,8,2,,71,理学,情報科学,情報科学
72,理学,物理学,物理学,4,40,,,123456,5,,,,64,,,,,,40,,,,,,24,2,,,,,3,2,,456,0,0,0,0,0,123456,21,,,,,,,,,,,,,,,,79,18,,,,,19,2,,72,理学,物理学,物理学
73,理学,天文学,天文学,4,5,,,123456,1,,,,12,,,,,,5,,,,,,7,1,,,,,1,,,456,0,0,0,0,0,123456,4,,,,,,,,,,,,,,,,36,12,,,,,4,,,73,理学,天文学,天文学
74,理学,地球惑星物理学,地球惑星物理学,4,16,,,123456,5,,,,21,,,,,,16,,,,,,5,6,,,,,1,4,,456,0,0,0,0,0,123456,10,,,,,,,,,,,,,,,,64,20,,,,,8,2,,74,理学,地球惑星物理学,地球惑星物理学
75,理学,地球惑星環境学,地球惑星環境学,456,10,,,123456,2,,,,6,8,,,,,5,5,,,,1,1,3,,,,1,1,,,456,4,0,0,0,0,123456,2,,,,40,26,,,,,4,,,,,,40,26,,,,,2,,,75,理学,地球惑星環境学,地球惑星環境学
76,理学,化学,化学,4,17,56,10,123456,5,,,,24,11,,,,,17,10,,,,,7,1,,,,,5,,,456,13,0,0,0,0,123456,0,,,,40,39,,,,,8,5,,,,,,,,,,,,,,76,理学,化学,化学
77,理学,生物化学,生物化学,456,12,,,123456,1,,,,4,20,,,,,3,9,,,,,1,11,,,,,1,,,456,6,0,0,0,0,123456,0,,,,17,38,,,,,1,5,,,,,,,,,,,,,,77,理学,生物化学,生物化学
78,理学,生物情報科学,生物情報科学,456,6,,,123456,1,,,,9,6,,,,,2,4,,,,,7,2,,,,,1,,,456,5,0,0,0,0,123456,0,,,,39,33,,,,,3,2,,,,,,,,,,,,,,78,理学,生物情報科学,生物情報科学
79,理学,生物学,生物学,456,12,,,123456,2,,,,4,18,,,,,2,10,,,,,2,8,,,,,,2,,456,0,0,0,0,0,123456,10,,,,,,,,,,,,,,,,19,33,,,,,5,5,,79,理学,生物学,生物学
80,合計,,,,1596,,279,,313,364,325,388,1133,481,99,283,206,275,671,286,65,129,186,220,420,257,35,25,44,99,48,65,1,0,816,0,58,0,2,0,269,191,404,846,3160,1351,34,92,97,83,309,134,34,390,895,904,2625,1341,36,15,49,44,85,67,0,80,合計,,
,,,,,,,,,,,,,,,,412,382,485,1125,568,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,129,176,210,454,282,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
